basic_tfactortx_id;basic_gene_symbol;basic_ensembl_gene_id;basic_hgnc_id;basic_ncbi_gene_id;basic_protein_name;basic_uniprot_id;basic_jaspar_url;basic_open_targets_url;basic_tf_superclass;basic_tf_class;basic_tf_family;sort_disease_ot_ard_aging_sum_rank;sort_disease_ot_ard_aging_overall_rank;sort_disease_ot_total_assoc_score_rank;sort_disease_ot_ard_total_assoc_count_score_rank;sort_aging_summary_total_db_entries_count_rank;sort_dev_summary_dev_level_category;disease_ot_total_assoc_count;disease_ot_total_assoc_score;disease_ot_total_assoc_count_rank;disease_ot_total_assoc_score_rank;disease_ot_lowconf_count;disease_ot_lowconf_score;disease_ot_lowconf_count_rank;disease_ot_lowconf_score_rank;disease_ot_modconf_count;disease_ot_modconf_score;disease_ot_modconf_count_rank;disease_ot_modconf_score_rank;disease_ot_hiconf_count;disease_ot_hiconf_score;disease_ot_hiconf_count_rank;disease_ot_hiconf_score_rank;disease_ot_ard_disease_count;disease_ot_ard_total_score;disease_ot_ard_disease_count_rank;disease_ot_ard_total_score_rank;disease_ot_ard_strongest_linked_disease;disease_age-related hearing impairment;disease_age-related hearing impairment_rank;disease_age-related macular degeneration;disease_age-related macular degeneration_rank;disease_Alzheimer disease;disease_Alzheimer disease_rank;disease_atherosclerosis;disease_atherosclerosis_rank;disease_benign prostatic hyperplasia;disease_benign prostatic hyperplasia_rank;disease_cancer;disease_cancer_rank;disease_chronic obstructive pulmonary disease;disease_chronic obstructive pulmonary disease_rank;disease_heart failure;disease_heart failure_rank;disease_Ischemic stroke;disease_Ischemic stroke_rank;disease_myocardial infarction;disease_myocardial infarction_rank;disease_non-alcoholic fatty liver disease;disease_non-alcoholic fatty liver disease_rank;disease_osteoarthritis;disease_osteoarthritis_rank;disease_Osteoporosis;disease_Osteoporosis_rank;disease_Parkinson disease;disease_Parkinson disease_rank;disease_sarcopenia;disease_sarcopenia_rank;disease_type 2 diabetes mellitus;disease_type 2 diabetes mellitus_rank;aging_summary_total_db_entries_count;aging_summary_total_db_entries_count_norm;aging_summary_human;aging_summary_mm_influence;aging_summary_ce_influence;aging_summary_dm_influence;aging_PMID35343830_ce;aging_PMID35343830_dm;aging_PMID35343830_mm;aging_PMID35343830_human;aging_hagr_genage_human_inclusion;aging_hagr_genage_ce_influence;aging_hagr_genage_dm_influence;aging_hagr_genage_mm_influence;aging_hagr_cellage_effect;aging_hagr_longevitymap_entries;aging_agingreg_human_influence;aging_senequest_total_entries;aging_opengenes_ce_influence;aging_opengenes_dm_influence;aging_opengenes_mm_influence;aging_opengenes_human_longevity_assoc;dev_summary_total_db_entries_count;dev_summary_dev_level_category;dev_summary_dev_level_category_note;dev_pharos_tcrd_tdl;dev_dgidb_all_drugs;dev_dgidb_MOA_drugs;dev_ttd_approved_drugs;dev_chembl_target_id;dev_chembl_target_name;dev_chembl_target_type;dev_chembl_compounds;dev_chembl_activites;dev_chembl_drug_count;dev_chembl_max_phase;dev_chembl_modality_list;dev_chembl_first_approval_min
TFTX_0628;NOBOX;ENSG00000106410;HGNC:22448;135935;Homeobox protein NOBOX;O60393;#N/A;https://platform.opentargets.org/target/ENSG00000106410;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.3 Paired-related HD;2659;1021;799;1422;407;5_None;89;5.28;837;799;84;2.9;812;705;4;1.59;889;831;1;0.78;396;407;1;0;1158;1422;Cancer;0;43;0;213;0;923;0;430;0;288;0.001478319;1275;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;N;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0904;TBX19;ENSG00000143178;HGNC:11596;9095;T-box transcription factor TBX19 (T-box protein 19) (T-box factor, pituitary);O60806;https://jaspar.elixir.no/search?q=O60806;https://platform.opentargets.org/target/ENSG00000143178;6 Immunoglobulin fold;6.5 T-Box factors;6.5.1 Brachyury-related;2653;1019;867;1348;407;5_None;124;4.46;713;867;119;2.62;675;756;4;1.09;889;960;1;0.74;396;415;1;0;1158;1348;Cancer;0;43;0;213;0;923;0;430;0;288;0.004065378;1150;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0486;LHX1;ENSG00000273706;HGNC:6593;3975;LIM/homeobox protein Lhx1 (LIM homeobox protein 1) (Homeobox protein Lim-1) (hLim-1);P48742;https://jaspar.elixir.no/search?q=P48742;https://platform.opentargets.org/target/ENSG00000273706;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.5 HD-LIM;2646;1015;996;1212;407;5_None;108;3.02;774;996;103;1.22;742;1037;4;1.25;889;920;1;0.56;396;473;1;0.01;1158;1212;Cancer;0;43;0;213;0;923;0;430;0;288;0.009404665;953;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;N;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1323;ZNF468;ENSG00000204604;HGNC:33105;90333;Zinc finger protein 468;Q5VIY5;#N/A;https://platform.opentargets.org/target/ENSG00000204604;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;2504;940;1043;1023;407;5_None;27;2.62;1235;1043;22;0.63;1252;1268;4;1.49;889;855;1;0.5;396;622;1;0.03;1158;1023;Cancer;0;43;0;213;0;923;0;430;0;288;0.025470212;655;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;N;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0423;IKZF5;ENSG00000095574;HGNC:14283;64376;Zinc finger protein Pegasus (Ikaros family zinc finger protein 5);Q9H5V7;#N/A;https://platform.opentargets.org/target/ENSG00000095574;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;3587;1494;1063;1356;1161;5_None;27;2.48;1235;1063;22;0.6;1252;1283;4;1.31;889;906;1;0.57;396;457;1;0;1158;1356;Cancer;0;43;0;213;0;923;0;430;0;288;0.003695799;1171;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0308;GLIS2;ENSG00000126603;HGNC:29450;84662;Zinc finger protein GLIS2 (GLI-similar 2) (Neuronal Krueppel-like protein);Q9BZE0;https://jaspar.elixir.no/search?q=Q9BZE0;https://platform.opentargets.org/target/ENSG00000126603;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;1564;494;495;986;62;5_None;286;10.75;368;495;280;8.45;334;318;5;1.67;804;815;1;0.63;396;436;1;0.03;1158;986;Cancer;0;43;0;213;0;923;0;430;0;288;0.030249463;594;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;3;0.23;Y;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;Pro-Longevity;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1535;ZNF750;ENSG00000141579;HGNC:25843;79755;Zinc finger protein 750;Q32MQ0;#N/A;https://platform.opentargets.org/target/ENSG00000141579;0 Yet undefined DNA-binding domains;0.0 Uncharacterized;0.0.0 Uncharacterized/Undefined;2331;854;894;999;407;5_None;84;4.14;869;894;78;1.71;841;929;5;1.79;804;784;1;0.64;396;432;1;0.03;1158;999;Cancer;0;43;0;213;0;923;0;430;0;288;0.02871354;612;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0383;HOXB1;ENSG00000120094;HGNC:5111;3211;Homeobox protein Hox-B1 (Homeobox protein Hox-2I);P14653;https://jaspar.elixir.no/search?q=P14653;https://platform.opentargets.org/target/ENSG00000120094;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.1 HOX;3009;1222;783;1058;1161;3_Medium to Low;87;5.45;852;783;80;2.82;834;722;6;1.98;734;742;1;0.64;396;433;1;0.02;1158;1058;Cancer;0;43;0;213;0;923;0;430;0;288;0.021393379;717;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;3_Medium to Low;"DGIDB indicates drugs with known MOA but a ""Medium"" development level (drugs in or en route to the clinic) not supported by the other databases (at most Tbio and no further information).";Tbio;5;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1563;ZNF787;ENSG00000142409;HGNC:26998;126208;Zinc finger protein 787 (TTF-I-interacting peptide 20);Q6DD87;#N/A;https://platform.opentargets.org/target/ENSG00000142409;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;2643;1011;999;1206;407;5_None;18;3.01;1353;999;11;0.45;1436;1362;6;2.05;734;730;1;0.52;396;571;1;0.01;1158;1206;Alzheimer Disease;0;43;0;213;0.009609076;502;0;430;0;288;0;1354;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0231;FIGLA;ENSG00000183733;HGNC:24669;344018;Factor in the germline alpha (FIGalpha) (Class C basic helix-loop-helix protein 8) (bHLHc8) (Folliculogenesis-specific basic helix-loop-helix protein) (Transcription factor FIGa);Q6QHK4;https://jaspar.elixir.no/search?q=Q6QHK4;https://platform.opentargets.org/target/ENSG00000183733;1 Basic domains;1.2 Basic helix-loop-helix factors (bHLH);1.2.3 Tal-related;3506;1469;916;1422;1161;5_None;50;3.89;1036;916;42;1.28;1037;1029;7;1.98;698;743;1;0.63;396;437;1;0;1158;1422;Cancer;0;43;0;213;0;923;0;430;0;288;0.001478319;1275;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1404;ZNF574;ENSG00000105732;HGNC:26166;64763;Zinc finger protein 574;Q6ZN55;https://jaspar.elixir.no/search?q=Q6ZN55;https://platform.opentargets.org/target/ENSG00000105732;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;2178;778;847;893;407;5_None;31;4.65;1186;847;19;0.62;1302;1275;11;3.51;559;566;1;0.52;396;576;1;0.05;1158;893;Alzheimer Disease;0;43;0;213;0.046974501;250;0;430;0;288;0;1354;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;N;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
