Gene Name;Overall Rank;All Diseases Rank;ARDs Rank;Strongest Linked ARD;Aging Rank;Human Link Y/N;M. musculus Link;C. elegans Link;D. melanogaster Link;Development Level;Pharos TDL
EBF1;39;25;122;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Medium to Low;Tbio
HMGA1;40;68;91;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
ETV1;41;86;76;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tbio
ARNT;42;164;94;Alzheimer Disease;34;Yes;Pro-Longevity;Pro-Longevity;None;Medium to Low;Tbio
SPI1;42;173;57;Alzheimer Disease;62;Yes;None;Anti-Longevity;None;None;Tbio
WT1;44;22;209;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;None;Medium;Tbio
ZEB2;45;102;71;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
NFIB;46;110;65;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;Low;Tbio
SOX5;47;113;156;Osteoarthritis;34;Yes;Unclear;None;None;None;Tbio
FOXP1;48;11;166;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
RELA;49;236;41;Alzheimer Disease;34;Yes;None;None;None;Medium;Tchem
MITF;50;17;173;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;Low;Tchem
SREBF1;51;266;32;Alzheimer Disease;25;Yes;Unclear;Pro-Longevity;None;Low;Tchem
TFEB;52;157;160;Alzheimer Disease;14;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
EPAS1;53;69;230;Non-Alcoholic Fatty Liver Disease;34;Yes;None;Unclear;Anti-Longevity;High;Tclin
SPEN;53;70;136;Parkinson Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
PPARD;55;203;69;Type 2 Diabetes Mellitus;62;Yes;None;Unclear;None;Medium;Tchem
FOXP3;56;89;184;Cancer;62;Yes;None;Anti-Longevity;None;Low;Tbio
STAT1;57;124;85;Cancer;127;Yes;None;None;Pro-Longevity;Low;Tchem
MECP2;58;94;117;Cancer;127;Yes;None;None;None;Low;Tchem
SATB1;59;125;152;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;None;None;Tbio
DNMT1;60;170;47;Cancer;127;Yes;None;None;None;High;Tclin
NFATC2;60;71;146;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tbio
CEBPB;62;263;80;Type 2 Diabetes Mellitus;10;Yes;Unclear;None;None;Medium to Low;Tbio
E2F1;63;297;40;Alzheimer Disease;25;Yes;None;Anti-Longevity;None;Medium;Tbio
FOS;64;204;138;Cancer;34;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
TET1;64;78;171;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
RORA;66;55;197;Type 2 Diabetes Mellitus;127;Yes;None;Unclear;None;Low;Tchem
HIC1;67;260;59;Alzheimer Disease;62;Yes;None;None;None;None;Tbio
FOXM1;68;328;42;Cancer;14;Yes;Pro-Longevity;None;None;Low;Tchem
NR1H4;69;206;55;Non-Alcoholic Fatty Liver Disease;127;No;None;Unclear;Anti-Longevity;High;Tclin
GABPA;70;226;43;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;Low;Tbio
FOXA2;71;251;112;Type 2 Diabetes Mellitus;34;Yes;None;Pro-Longevity;Unclear;None;Tbio
MYCN;72;104;242;Type 2 Diabetes Mellitus;62;Yes;None;None;Anti-Longevity;Low;Tbio
SOX4;73;127;161;Type 2 Diabetes Mellitus;127;Yes;Pro-Longevity;None;None;None;Tbio
REST;74;232;151;Myocardial Infarction;34;Yes;Unclear;Pro-Longevity;None;None;Tbio
TET2;75;3;9;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;Low;Tchem
TP63;76;24;385;Cancer;14;Yes;Pro-Longevity;None;Anti-Longevity;None;Tbio
FOXP2;77;153;214;Osteoarthritis;62;Yes;None;Anti-Longevity;None;None;Tbio
TCF7L2;78;16;7;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
CLOCK;79;308;110;Type 2 Diabetes Mellitus;14;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tbio
EGR1;80;274;129;Type 2 Diabetes Mellitus;34;Yes;Unclear;None;None;Medium;Tbio
THRA;80;184;126;Myocardial Infarction;127;No;None;Unclear;Anti-Longevity;High;Tclin
HNF4G;82;217;99;Alzheimer Disease;127;Yes;None;Unclear;None;None;Tbio
KAT7;83;264;60;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tbio
PROX1;84;182;143;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tbio
ZEB1;85;37;289;Cancer;127;Yes;None;None;None;Low;Tbio
STAT4;86;218;109;Alzheimer Disease;127;Yes;None;None;Pro-Longevity;Low;Tchem
TWIST1;87;136;192;Ischemic Stroke;127;Yes;None;None;None;Low;Tbio
RUNX3;88;167;227;Type 2 Diabetes Mellitus;62;Yes;None;None;None;Low;Tbio
BCL6;89;50;280;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tchem
NR4A2;89;284;111;Parkinson Disease;62;Yes;Pro-Longevity;None;None;Medium;Tchem
FLI1;91;51;346;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;Anti-Longevity;Low;Tbio
FOXA1;92;158;288;Parkinson Disease;14;Yes;None;Pro-Longevity;Pro-Longevity;Medium to Low;Tbio
MLXIPL;92;9;324;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
SOX2;94;75;325;Cancer;62;Yes;None;None;None;None;Tbio
NFIA;95;129;210;Heart Failure;127;Yes;None;Pro-Longevity;None;None;Tbio
NR1H3;95;133;271;Alzheimer Disease;62;Yes;None;Unclear;Anti-Longevity;Medium;Tchem
GATA4;97;84;377;Myocardial Infarction;14;Yes;None;None;Pro-Longevity;Low;Tbio
GATA3;98;21;329;Cancer;127;Yes;None;Anti-Longevity;None;Medium to Low;Tbio
RREB1;99;64;20;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
RERE;100;183;248;Chronic Obstructive Pulmonary Disease;62;Yes;None;Pro-Longevity;None;None;Tbio
RARA;101;77;292;Alzheimer Disease;127;No;None;Unclear;Anti-Longevity;High;Tclin
CEBPA;102;95;379;Cancer;34;Yes;Unclear;None;None;Medium to Low;Tbio
GLIS3;103;97;11;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KLF14;104;67;49;Type 2 Diabetes Mellitus;407;No;None;Pro-Longevity;None;None;Tbio
MEF2C;105;61;63;Age-Related Macular Degeneration;407;Yes;None;None;None;None;Tbio
PITX2;106;107;21;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
NR1I2;107;288;125;Cancer;127;Yes;None;Unclear;None;Low;Tchem
RFX6;108;387;27;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
STAT5A;109;439;87;Cancer;25;Yes;Pro-Longevity;None;Pro-Longevity;Low;Tchem
PRDM1;110;60;467;Cancer;34;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
CASZ1;111;143;15;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
L3MBTL3;112;59;101;Alzheimer Disease;407;Yes;None;None;None;Low;Tchem
HSF1;113;422;142;Type 2 Diabetes Mellitus;10;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tchem
TCF4;114;42;127;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KLF5;115;214;304;Chronic Obstructive Pulmonary Disease;62;Yes;None;Pro-Longevity;None;Medium;Tchem
STAT6;116;52;404;Cancer;127;Yes;None;None;Pro-Longevity;Low;Tchem
GATA6;117;287;265;Chronic Obstructive Pulmonary Disease;34;Yes;None;Anti-Longevity;Pro-Longevity;Medium to Low;Tbio
XBP1;118;312;246;Alzheimer Disease;34;Yes;None;Unclear;Pro-Longevity;Low;Tchem
RUNX2;119;112;74;Osteoarthritis;407;Yes;None;None;None;Low;Tbio
TCF3;120;128;459;Alzheimer Disease;14;Yes;None;Anti-Longevity;None;Low;Tbio
RXRA;121;199;276;Alzheimer Disease;127;Yes;None;None;None;High;Tclin
SKI;122;168;309;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
CTCF;123;117;81;Parkinson Disease;407;Yes;None;None;None;None;Tbio
GATA2;124;83;396;Chronic Obstructive Pulmonary Disease;127;No;None;Unclear;None;Medium to Low;Tbio
PRDM16;125;47;153;Ischemic Stroke;407;Yes;None;None;None;Low;Tbio
HLF;126;198;284;Heart Failure;127;Yes;None;Anti-Longevity;None;None;Tbio
SOX6;127;118;431;Parkinson Disease;62;Yes;None;None;None;None;Tbio
ZBTB38;128;145;61;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SOX9;129;98;115;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ARID5B;130;130;89;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
TRPS1;131;18;203;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SP1;132;361;244;Cancer;25;Yes;None;Pro-Longevity;None;Low;Tbio
SIX1;133;159;350;Benign Prostatic Hyperplasia;127;Yes;None;None;None;None;Tbio
EGR2;134;276;241;Osteoarthritis;127;Yes;None;None;None;Medium to Low;Tbio
JUND;135;340;300;Cancer;6;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tbio
DDIT3;136;229;291;Alzheimer Disease;127;Yes;None;None;None;Low;Tbio
ARX;137;241;283;Osteoarthritis;127;Yes;None;Pro-Longevity;None;None;Tbio
IRF1;138;114;135;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;Low;Tbio
LEF1;139;134;121;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;Low;Tchem
GLI2;140;58;200;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
KLF6;141;165;439;Cancer;62;Yes;None;Pro-Longevity;None;None;Tbio
PRRX1;142;148;113;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
ETV4;143;179;83;Benign Prostatic Hyperplasia;407;Yes;None;None;None;Medium to Low;Tbio
SATB2;144;99;512;Cancer;62;Yes;None;Pro-Longevity;None;None;Tbio
MAF;145;56;215;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
POU5F1B;146;246;30;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
MEIS1;147;181;382;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
SETBP1;147;19;264;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NR2F2;149;215;70;Parkinson Disease;407;Yes;None;None;None;Low;Tchem
POU5F1;150;231;349;Cancer;127;Yes;None;None;None;Low;Tbio
TRAFD1;150;249;51;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
KLF7;152;346;238;Age-Related Hearing Impairment;127;Yes;None;Pro-Longevity;None;None;Tbio
ZFHX4;153;253;332;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
HSF2;154;333;253;Chronic Obstructive Pulmonary Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
BNC2;155;108;199;Cancer;407;Yes;None;None;None;None;Tbio
GLI3;156;48;260;Benign Prostatic Hyperplasia;407;Yes;None;None;None;Medium to Low;Tbio
ZNF462;156;176;132;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
NFATC1;158;172;420;Non-Alcoholic Fatty Liver Disease;127;Yes;None;None;None;Low;Tchem
MECOM;159;20;296;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;Medium to Low;Tbio
NR1H2;160;651;39;Alzheimer Disease;34;Yes;None;Unclear;Anti-Longevity;Medium;Tchem
PBX1;161;93;505;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
TFAP2A;162;202;398;Cancer;127;Yes;None;None;None;Low;Tbio
ZNF652;163;180;141;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
LCORL;164;162;165;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KMT2A;165;30;299;Cancer;407;Yes;None;None;None;Medium;Tchem
DOT1L;166;419;191;Myocardial Infarction;127;Yes;None;Anti-Longevity;None;Low;Tchem
ATF4;167;433;273;Alzheimer Disease;34;Yes;Unclear;Anti-Longevity;None;Medium to Low;Tbio
NPAS3;168;277;402;Type 2 Diabetes Mellitus;62;Yes;None;Unclear;Anti-Longevity;Low;Tbio
SNAI1;169;487;222;Type 2 Diabetes Mellitus;34;Yes;None;None;Unclear;None;Tbio
NFAT5;170;230;107;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
TFAP4;171;460;263;Benign Prostatic Hyperplasia;25;Yes;Anti-Longevity;Anti-Longevity;None;None;Tbio
NFE2L3;172;81;544;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
BACH2;173;80;269;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
MEOX2;173;371;258;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
TAL1;175;121;229;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
IKZF2;176;250;102;Parkinson Disease;407;Yes;None;None;None;None;Tbio
GTF2I;177;348;10;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
FOXO4;178;248;516;Cancer;5;Yes;Pro-Longevity;Pro-Longevity;Unclear;None;Tbio
ATF3;179;438;205;Cancer;127;Yes;None;None;None;Medium to Low;Tbio
NR2C2;180;379;266;Cancer;127;Yes;None;Pro-Longevity;None;Medium;Tchem
BCL11B;181;49;602;Cancer;127;Yes;None;None;None;None;Tbio
FOXG1;181;212;159;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
HEY2;181;201;170;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NR2F1;184;269;386;Benign Prostatic Hyperplasia;127;Yes;None;Unclear;None;None;Tbio
TBX2;185;151;506;Cancer;127;Yes;None;None;None;Low;Tbio
TEAD1;185;299;78;Osteoarthritis;407;Yes;None;None;None;Low;Tchem
REL;187;106;274;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
IRF3;188;389;272;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;None;Low;Tbio
OTX2;189;197;531;Age-Related Macular Degeneration;62;Yes;None;Pro-Longevity;None;None;Tbio
SETDB1;190;283;381;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
ZFPM2;191;57;328;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
TWIST2;192;357;314;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;None;None;Tbio
CDC5L;193;326;66;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
IRX1;194;256;137;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
MEF2A;194;518;155;Myocardial Infarction;127;Yes;None;None;None;None;Tbio
IRF5;196;208;466;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
PCGF2;197;476;201;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
ZNF76;197;375;302;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
TFE3;199;190;489;Parkinson Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
ETS2;200;407;339;Benign Prostatic Hyperplasia;62;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
RORB;201;227;176;Age-Related Macular Degeneration;407;No;None;Unclear;None;Low;Tchem
ZNF800;201;339;64;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
ARID2;203;36;370;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
RBPJ;204;359;48;Cancer;407;Yes;None;None;None;Low;Tchem
TP73;205;396;408;Cancer;14;Yes;Pro-Longevity;None;Anti-Longevity;Low;Tbio
XPA;205;242;514;Cancer;62;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tchem
TCF21;207;243;174;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
DMRTA2;208;314;108;Heart Failure;407;Yes;None;None;None;None;Tbio
ZGLP1;209;342;84;Type 2 Diabetes Mellitus;407;No;None;Anti-Longevity;None;None;Tdark
BHLHE40;210;437;337;Alzheimer Disease;62;Yes;None;None;None;Low;Tbio
HHEX;211;262;168;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
PIN1;211;506;204;Cancer;127;Yes;None;None;None;Low;Tchem
RFX3;213;347;368;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;None;Tbio
TCF12;214;120;318;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
YY1;215;461;259;Cancer;127;Yes;None;None;None;Low;Tbio
NR5A2;216;268;453;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;Low;Tchem
SP8;217;467;262;Benign Prostatic Hyperplasia;127;Yes;None;Pro-Longevity;None;None;Tbio
E2F3;218;321;131;Alzheimer Disease;407;Yes;None;None;None;Medium;Tbio
TFDP1;218;676;149;Alzheimer Disease;34;Yes;None;None;None;None;Tbio
ZBTB20;220;220;235;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
TBPL1;221;360;378;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
ZFPM1;222;144;315;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
HOXA11;223;126;334;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
MYRF;224;39;436;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
PAX8;225;123;353;Cancer;407;Yes;None;None;None;Low;Tchem
FOXC1;226;72;406;Cancer;407;Yes;None;None;None;None;Tbio
MLX;227;395;364;Type 2 Diabetes Mellitus;127;No;None;Pro-Longevity;None;Low;Tchem
PAX6;227;74;405;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SNAI2;229;457;371;Cancer;62;Yes;None;None;Unclear;None;Tbio
MAFB;230;14;473;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
MYB;230;53;434;Cancer;407;Yes;None;None;None;Low;Tbio
OVOL1;232;278;212;Osteoarthritis;407;No;None;None;Anti-Longevity;None;Tbio
TFCP2L1;233;409;90;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ARNT2;234;504;341;Chronic Obstructive Pulmonary Disease;62;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
SALL1;234;194;586;Cancer;127;Yes;None;None;None;None;Tbio
GATA5;236;235;270;Benign Prostatic Hyperplasia;407;No;None;Anti-Longevity;None;None;Tbio
RARG;236;224;281;Alzheimer Disease;407;No;None;Unclear;None;High;Tclin
ZNF664;238;140;366;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
MYCL;239;221;633;Cancer;62;Yes;Anti-Longevity;None;Anti-Longevity;None;Tbio
JUNB;240;484;308;Cancer;127;Yes;Pro-Longevity;None;None;Low;Tbio
PBX3;240;440;352;Chronic Obstructive Pulmonary Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
LTF;242;363;150;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
ZBTB16;242;31;482;Cancer;407;Yes;None;None;None;None;Tbio
HIVEP2;244;258;256;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
ZNF285;245;178;338;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
FOXP4;246;445;355;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
KDM2B;246;469;331;Alzheimer Disease;127;Yes;None;None;None;Low;Tchem
NEUROD1;246;417;103;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
NR2E1;249;556;249;Alzheimer Disease;127;Yes;None;None;None;Medium to Low;Tbio
ZKSCAN1;250;703;104;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tbio
CEBPG;251;571;307;Type 2 Diabetes Mellitus;62;Yes;Unclear;None;None;None;Tbio
ZIC3;252;344;190;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HES1;253;408;410;Cancer;127;Yes;None;None;None;Low;Tbio
IKZF1;253;13;525;Cancer;407;Yes;None;None;None;Low;Tbio
PRDM5;255;463;79;Osteoarthritis;407;Yes;None;None;None;None;Tbio
PDX1;256;365;189;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NFIC;257;279;556;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
MYNN;258;374;462;Cancer;127;Yes;None;None;Anti-Longevity;None;Tbio
SALL4;259;119;440;Cancer;407;Yes;None;None;None;None;Tbio
IRF7;260;545;295;Age-Related Macular Degeneration;127;Yes;None;None;None;None;Tbio
NFE2L1;261;536;401;Type 2 Diabetes Mellitus;34;Yes;None;Pro-Longevity;None;None;Tbio
NR1D1;262;558;287;Cancer;127;Yes;None;Anti-Longevity;None;Low;Tchem
MBD2;263;432;140;Alzheimer Disease;407;Yes;None;None;None;Low;Tchem
ETV5;264;66;515;Cancer;407;Yes;None;None;None;Low;Tbio
FOXN1;265;219;708;Osteoporosis;62;Yes;Pro-Longevity;None;None;None;Tbio
TERF2;266;740;217;Alzheimer Disease;34;Yes;Anti-Longevity;None;None;Low;Tchem
ZBTB7A;266;429;435;Cancer;127;Yes;None;None;None;None;Tbio
MNX1;268;330;255;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
GATA1;269;90;842;Cancer;62;Yes;None;Anti-Longevity;None;None;Tbio
ZHX2;269;385;202;Atherosclerosis;407;Yes;None;None;None;Medium to Low;Tbio
SP4;271;200;668;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
ELF3;272;315;557;Cancer;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
TSHZ2;273;366;228;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
ZNF365;274;539;336;Cancer;127;Yes;None;None;None;None;Tbio
DLX2;275;770;106;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
MAFF;276;177;423;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KLF10;277;552;397;Non-Alcoholic Fatty Liver Disease;62;Yes;Unclear;None;None;None;Tbio
ATF6;278;538;417;Type 2 Diabetes Mellitus;62;Yes;None;Anti-Longevity;None;None;Tbio
GLI1;279;185;428;Cancer;407;Yes;None;None;None;Medium;Tchem
IRF2;280;486;128;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
KDM5B;280;436;458;Cancer;127;Yes;None;Unclear;None;Low;Tchem
NPAS2;280;458;501;Type 2 Diabetes Mellitus;62;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
POU1F1;280;615;344;Type 2 Diabetes Mellitus;62;Yes;Anti-Longevity;None;None;None;Tbio
FOSL1;284;547;68;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
ZNF629;284;797;98;Parkinson Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
SIX2;286;309;310;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
MXI1;287;414;596;Cancer;25;Yes;None;Unclear;Pro-Longevity;Low;Tbio
GFI1;288;327;305;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
ATF5;289;820;97;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;Low;Tbio
NR4A1;289;483;154;Cancer;407;Yes;None;None;None;Low;Tchem
SP6;289;245;672;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
ZNF217;289;370;267;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ZFP64;293;362;277;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
TGIF1;294;372;549;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
NR4A3;295;188;456;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
